sample	fastq1	fastq2	data_dir	control	replicate
input_K2	input_K2_S21_L004_R1_001.fastq.gz	input_K2_S21_L004_R2_001.fastq.gz	raw_data/run_2/	No_ctl	2
NKX2_2_K2	NKX2_2_K2_S29_L004_R1_001.fastq.gz	NKX2_2_K2_S29_L004_R2_001.fastq.gz	raw_data/run_2/	input_K2	2
NKX2_2_S3	NKX2_2_S3_S26_L004_R1_001.fastq.gz	NKX2_2_S3_S26_L004_R2_001.fastq.gz	raw_data/run_2/	input_S3	3
input_S1	input_S1_S16_L004_R1_001.fastq.gz	input_S1_S16_L004_R2_001.fastq.gz	raw_data/run_2/	No_ctl	1
NKX2_2_S4	NKX2_2_S4_S27_L004_R1_001.fastq.gz	NKX2_2_S4_S27_L004_R2_001.fastq.gz	raw_data/run_2/	input_S4	4
NKX2_2_K1	NKX2_2_K1_S28_L004_R1_001.fastq.gz	NKX2_2_K1_S28_L004_R2_001.fastq.gz	raw_data/run_2/	input_K1	1
input_S2	input_S2_S17_L004_R1_001.fastq.gz	input_S2_S17_L004_R2_001.fastq.gz	raw_data/run_2/	No_ctl	2
input_K1	input_K1_S20_L004_R1_001.fastq.gz	input_K1_S20_L004_R2_001.fastq.gz	raw_data/run_2/	No_ctl	1
input_K4	input_K4_S23_L004_R1_001.fastq.gz	input_K4_S23_L004_R2_001.fastq.gz	raw_data/run_2/	No_ctl	4
NKX2_2_K4	NKX2_2_K4_S31_L004_R1_001.fastq.gz	NKX2_2_K4_S31_L004_R2_001.fastq.gz	raw_data/run_2/	input_K4	4
input_S4	input_S4_S19_L004_R1_001.fastq.gz	input_S4_S19_L004_R2_001.fastq.gz	raw_data/run_2/	No_ctl	4
NKX2_2_S1	NKX2_2_S1_S24_L004_R1_001.fastq.gz	NKX2_2_S1_S24_L004_R2_001.fastq.gz	raw_data/run_2/	input_S1	1
input_S3	input_S3_S18_L004_R1_001.fastq.gz	input_S3_S18_L004_R2_001.fastq.gz	raw_data/run_2/	No_ctl	3
NKX2_2_K3	NKX2_2_K3_S30_L004_R1_001.fastq.gz	NKX2_2_K3_S30_L004_R2_001.fastq.gz	raw_data/run_2/	input_K3	3
NKX2_2_S2	NKX2_2_S2_S25_L004_R1_001.fastq.gz	NKX2_2_S2_S25_L004_R2_001.fastq.gz	raw_data/run_2/	input_S2	2
input_K3	input_K3_S22_L004_R1_001.fastq.gz	input_K3_S22_L004_R2_001.fastq.gz	raw_data/run_2/	No_ctl	3
