sample	fastq1	fastq2	data_dir
Chd4_KO1	Mutant1_S5_R1_001.fastq.gz	Mutant1_S5_R2_001.fastq.gz	raw_data
Chd4_KO2	Mutant2_S6_R1_001.fastq.gz	Mutant2_S6_R2_001.fastq.gz	raw_data
Chd4_KO3	Mutant3_S7_R1_001.fastq.gz	Mutant3_S7_R2_001.fastq.gz	raw_data
Chd4_KO4	Mutant4_S8_R1_001.fastq.gz	Mutant4_S8_R2_001.fastq.gz	raw_data
Control_1	Control1_S1_R1_001.fastq.gz	Control1_S1_R2_001.fastq.gz	raw_data
Control_2	Control2_S2_R1_001.fastq.gz	Control2_S2_R2_001.fastq.gz	raw_data
Control_3	Control3_S3_R1_001.fastq.gz	Control3_S3_R2_001.fastq.gz	raw_data
Control_4	Control4_S4_R1_001.fastq.gz	Control4_S4_R2_001.fastq.gz	raw_data
